"BC
Cutoff ↑↓",,"OC
Cutoff ↑↓",,"MBC
Cutoff ↑↓","SC
Cutoff ↑↓","ST
Cutoff ↑↓",,Department         ↑↓,College Name              ↑↓,"Councelling
Code             ↑↓"
199.5,,200,,199.5,197.5,191.5,,"COMPUTER
SCIENCE AND ENGINEERING",University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,1
199,,199.5,,199,195.5,,,"COMPUTER
SCIENCE AND
ENGINEERING (SS)",University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,1
199,,199.5,,198.5,197,,,ELECTRONICS AND COMMUNICATION ENGINEERING,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,1
198.5,,198.5,,197.5,194,180.5,,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,1
198.5,,199,,197.5,195.5,194,,"COMPUTER
SCIENCE AND ENGINEERING","University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
198,,198.5,,197.5,193.5,193,,"INFORMATION
TECHNOLOGY (SS)",University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,1
198,,198.5,,196.5,188.5,,,"COMPUTER
SCIENCE AND
ENGINEERING (SS)","PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
198,,198.5,,196,190,181.5,,ELECTRONICS AND COMMUNICATION ENGINEERING,"PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
,,,,,,,,,,
197.5,,198,,197,193.5,,,"ARTIFICIAL
INTELLIGENCE AND DATA SCIENCE (SS)","University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
197.5,,198,,197,193,186.5,,"COMPUTER
SCIENCE AND
ENGINEERING (SS)","University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
197.5,,198,,197,193.5,193.5,,ELECTRONICS AND COMMUNICATION ENGINEERING,"University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
197.5,,198.5,,196.5,191.5,178,,"COMPUTER
SCIENCE AND ENGINEERING","Sri Sivasubramaniya Nadar College of
Engineering
(Autonomous), Rajiv Gandhi Salai (OMR),
Kalavakkam,Kanchipuram District-603110.",1315
197,,197.5,,196.5,192,182.5,,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),"University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
196.5,,197.5,,196,192.5,190,,"ELECTRICAL AND ELECTRONICS
ENGINEERING",University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,1
196.5,,197,,195.5,191,164,,"Electronics
Engineering (VLSI Design and Technology) (SS)",University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,1
196.5,,197.245,,196.5,191.5,188.5,,"INFORMATION
TECHNOLOGY (SS)","University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
,,,,,,,,,,
196.5,,197,,195.5,189.5,,,INFORMATION TECHNOLOGY,"Sri Sivasubramaniya Nadar College of
Engineering
(Autonomous), Rajiv Gandhi Salai (OMR),
Kalavakkam,Kanchipuram District-603110.",1315
196.5,,197,,195.5,187.5,,,"Computer Science and Engineering (Artificial
Intelligence and Machine Learning) (SS)","PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
196.5,,197,,195,187.5,176.5,,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),"PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
196.5,,197.5,,195,188.5,184,,"INFORMATION
TECHNOLOGY (SS)","PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
196,,197,,195,189,170.5,,ELECTRONICS AND COMMUNICATION ENGINEERING,"Sri Sivasubramaniya Nadar College of
Engineering
(Autonomous), Rajiv Gandhi Salai (OMR),
Kalavakkam,Kanchipuram District-603110.",1315
196,,196,,195,185.5,173.5,,"COMPUTER
SCIENCE AND
ENGINEERING (SS)","Coimbatore Institute of Technology (Autonomous) Civil
Aerodrome Post
Coimbatore District 641014",2007
196,,197,,195.5,191,186,,"COMPUTER
SCIENCE AND ENGINEERING","Coimbatore Institute of Technology (Autonomous) Civil
Aerodrome Post
Coimbatore District 641014",2007
195.5,,196,,194.5,186.5,168,,"ELECTRICAL AND ELECTRONICS
ENGINEERING","PSG College of Technology (Autonomous)
Peelamedu Coimbatore District 641004",2006
,,,,,,,,,,
195.5,,196,,194.5,187,,,ELECTRONICS AND COMMUNICATION ENGINEERING,"Coimbatore Institute of Technology (Autonomous) Civil
Aerodrome Post
Coimbatore District 641014",2007
195.5,,196.5,,195,188,,,"COMPUTER
SCIENCE AND ENGINEERING","Thiagarajar College of Engineering (Autonomous)
Tirupparankundram Madurai District 625015",5008
195,,196,,194.5,187.5,163,,ELECTRONICS AND INSTRUMENTATION ENGINEERING,"University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
195,,195.5,,193,185,,,"ARTIFICIAL
INTELLIGENCE AND DATA SCIENCE (SS)","Coimbatore Institute of Technology (Autonomous) Civil
Aerodrome Post
Coimbatore District 641014",2007
195,,195.5,,194.5,185.5,180.5,,"INFORMATION
TECHNOLOGY (SS)","Coimbatore Institute of Technology (Autonomous) Civil
Aerodrome Post
Coimbatore District 641014",2007
195,,195.5,,193,187.5,175.5,,ELECTRONICS AND COMMUNICATION ENGINEERING,"Thiagarajar College of Engineering (Autonomous)
Tirupparankundram Madurai District 625015",5008
194.5,,195.5,,193.5,187,,,ROBOTICS AND AUTOMATION (SS),"University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
194.5,,195,,192.5,182,168.5,,"ELECTRICAL AND ELECTRONICS
ENGINEERING","Sri Sivasubramaniya Nadar College of
Engineering
(Autonomous), Rajiv Gandhi Salai (OMR),
Kalavakkam,Kanchipuram District-603110.",1315
,,,,,,,,,,
194.5,,196,,195,188.545,,,"COMPUTER
SCIENCE AND ENGINEERING","Government College of Technology (Autonomous)
Thadagam Road
Coimbatore District 641013",2005
194.5,,196,,193.5,181.5,171,,"COMPUTER
SCIENCE AND ENGINEERING","PSG Institute of
Technology and Applied Research, Avinashi
Road,Neelambur, Sulur,Coimbatore
-641062.",2377
194,,195,,192.5,183,,,"M.Tech. Computer Science and
Engineering
(Integrated 5 years)","Sri Sivasubramaniya Nadar College of
Engineering
(Autonomous), Rajiv Gandhi Salai (OMR),
Kalavakkam,Kanchipuram District-603110.",1315
194,,195.5,,193.5,187,189.5,,ELECTRONICS AND COMMUNICATION ENGINEERING,"Government College of Technology (Autonomous)
Thadagam Road
Coimbatore District 641013",2005
194,,195,,193.5,185,,,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),"Coimbatore Institute of Technology (Autonomous) Civil
Aerodrome Post
Coimbatore District 641014",2007
194,,195,,192.5,181.5,163,,ELECTRONICS AND COMMUNICATION ENGINEERING,"PSG Institute of
Technology and Applied Research, Avinashi
Road,Neelambur, Sulur,Coimbatore
-641062.",2377
193.5,,196,,194,191.5,168,,AERONAUTICAL ENGINEERING,"University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu
District 600 044",4
193.5,,195,,193,186.5,190.5,,INFORMATION TECHNOLOGY,"Government College of Technology (Autonomous)
Thadagam Road
Coimbatore District 641013",2005
,,,,,,,,,,
